,날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,평균기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),PM2.5_MA7,PM2.5_MA30,PM2.5lag,Autumn,Spring,Summer,Winter
1535,2024-03-15,0.39361702127659576,0.5227272727272727,0.5714285714285715,0.5781990521327015,0.5333333333333334,0.32,0.4777448071216618,0.5441176470588236,0.1565217391304348,0.7115384615384635,0.49275362318840576,0.48484848484848475,0.6363636363636364,0,1,0,0
1536,2024-03-16,0.425531914893617,0.4545454545454546,0.7126984126984127,0.3672985781990522,0.4444444444444444,0.27999999999999997,0.5222551928783383,0.41176470588235303,0.2795031055900621,0.67548076923077,0.4963768115942029,0.49724517906336074,0.5227272727272727,0,1,0,0
1537,2024-03-17,0.4148936170212766,0.3181818181818182,0.6174603174603175,0.2511848341232228,0.4222222222222223,0.2,0.5222551928783383,0.4852941176470589,0.3739130434782608,0.5096153846153868,0.4818840579710145,0.5055096418732781,0.4545454545454546,0,1,0,0
1538,2024-03-18,0.43617021276595747,0.2272727272727273,0.5714285714285715,0.15402843601895738,0.3111111111111111,0.2,0.3827893175074184,0.3529411764705883,0.38385093167701856,0.6826923076923102,0.4565217391304348,0.502754820936639,0.3181818181818182,0,1,0,0
1539,2024-03-19,0.35106382978723405,0.34090909090909094,0.5428571428571429,0.3199052132701422,0.4,0.39999999999999997,0.40949554896142437,0.7941176470588236,0.3155279503105589,0.5432692307692335,0.44565217391304346,0.49862258953168037,0.2272727272727273,0,1,0,0
1540,2024-03-20,0.26595744680851063,0.34090909090909094,0.5619047619047619,0.1516587677725119,0.33333333333333337,0.13999999999999996,0.3056379821958457,0.47058823529411764,0.19254658385093168,0.6057692307692335,0.40942028985507245,0.49724517906336074,0.34090909090909094,0,1,0,0
1541,2024-03-21,0.26595744680851063,0.36363636363636365,0.5063492063492064,0.30094786729857825,0.3555555555555555,0.21999999999999997,0.2908011869436202,0.36764705882352944,0.27826086956521734,0.6153846153846168,0.3659420289855072,0.5055096418732781,0.34090909090909094,0,1,0,0
1542,2024-03-22,0.22340425531914893,0.2272727272727273,0.5158730158730159,0.31753554502369674,0.37777777777777777,0.2,0.42729970326409505,0.5588235294117647,0.5341614906832297,0.5769230769230766,0.31884057971014496,0.512396694214876,0.36363636363636365,0,1,0,0
1543,2024-03-23,0.4787234042553191,0.4090909090909091,0.6333333333333334,0.26540284360189575,0.37777777777777777,0.21999999999999997,0.5608308605341248,0.661764705882353,0.6720496894409936,0.51923076923077,0.3115942028985507,0.5303030303030303,0.2272727272727273,0,1,0,0
1544,2024-03-24,0.2021276595744681,0.2272727272727273,0.6714285714285715,0.1113744075829384,0.3555555555555555,0.27999999999999997,0.41839762611275977,0.5147058823529412,0.7204968944099378,0.5937500000000036,0.2971014492753623,0.5344352617079888,0.4090909090909091,0,1,0,0
1545,2024-03-25,0.1702127659574468,0.18181818181818182,0.6047619047619048,0.1350710900473934,0.33333333333333337,0.24,0.3946587537091989,0.5147058823529412,0.7813664596273292,0.5408653846153868,0.2898550724637681,0.5316804407713497,0.2272727272727273,0,1,0,0
1546,2024-03-26,0.13829787234042554,0.06818181818181818,0.573015873015873,0.09478672985781991,0.2666666666666667,0.15999999999999998,0.34421364985163216,0.4558823529411765,0.6944099378881987,0.5841346153846168,0.2463768115942029,0.5261707988980715,0.18181818181818182,0,1,0,0
1547,2024-03-27,0.10638297872340427,0.13636363636363635,0.373015873015873,0.38388625592417064,0.4,0.25999999999999995,0.3827893175074184,0.1911764705882353,0.5813664596273291,0.4915865384615401,0.21376811594202896,0.524793388429752,0.06818181818181818,0,1,0,0
1548,2024-03-28,0.07446808510638298,0.09090909090909091,0.30634920634920637,0.3530805687203792,0.33333333333333337,0.2,0.43323442136498524,0.3529411764705883,0.8434782608695651,0.39903846153846345,0.17028985507246375,0.512396694214876,0.13636363636363635,0,1,0,0
1549,2024-03-29,0.2624113475177305,0.4545454545454546,0.49523809523809526,0.2938388625592418,0.48888888888888893,0.2,0.4658753709198814,0.75,0.6223602484472048,0.3725961538461533,0.20652173913043478,0.5261707988980715,0.09090909090909091,0,1,0,0
1550,2024-03-30,0.45035460992907805,0.5681818181818182,0.5761904761904761,0.37203791469194325,0.5555555555555556,0.18,0.48961424332344217,0.4558823529411765,0.47701863354037255,0.4639423076923066,0.2318840579710145,0.5482093663911846,0.4545454545454546,0,1,0,0
1551,2024-03-31,0.6382978723404256,0.5,0.626984126984127,0.20379146919431282,0.5555555555555556,0.27999999999999997,0.4718100890207716,0.22058823529411767,0.6869565217391304,0.45192307692307665,0.2753623188405797,0.5564738292011019,0.5681818181818182,0,1,0,0
1552,2024-04-01,0.5212765957446809,0.5,0.4825396825396826,0.5094786729857821,0.6222222222222222,0.3,0.5163204747774481,0.3088235294117647,0.44472049689440984,0.5096153846153868,0.32608695652173914,0.5702479338842974,0.5,0,1,0,0
1553,2024-04-02,0.43617021276595747,0.38636363636363635,0.3126984126984127,0.3424170616113745,0.5111111111111111,0.27999999999999997,0.5548961424332345,0.2058823529411765,0.4981366459627329,0.5240384615384599,0.3768115942028986,0.5468319559228649,0.5,0,1,0,0
1554,2024-04-03,0.3723404255319149,0.11363636363636365,0.4650793650793651,0.17535545023696686,0.4222222222222223,0.15999999999999998,0.4688427299703265,0.36764705882352944,0.5136645962732919,0.53485576923077,0.3731884057971014,0.4944903581267217,0.38636363636363635,0,1,0,0
1555,2024-04-04,0.30851063829787234,0.3181818181818182,0.5619047619047619,0.1350710900473934,0.4222222222222223,0.2,0.4747774480712167,0.36764705882352944,0.5291925465838508,0.5456730769230802,0.40942028985507245,0.49724517906336074,0.11363636363636365,0,1,0,0
1556,2024-04-05,0.35638297872340424,0.34090909090909094,0.5936507936507937,0.1374407582938389,0.2666666666666667,0.21999999999999997,0.483679525222552,0.3382352941176471,0.5130434782608695,0.6418269230769269,0.3913043478260869,0.5041322314049586,0.3181818181818182,0,1,0,0
1557,2024-04-06,0.40425531914893614,0.4318181818181818,0.37619047619047624,0.618483412322275,0.4,0.3,0.5074183976261128,0.22058823529411767,0.5763975155279503,0.61298076923077,0.3695652173913043,0.512396694214876,0.34090909090909094,0,1,0,0
1558,2024-04-07,0.38449848024316113,0.37878787878787884,0.5349206349206349,0.4597156398104266,0.5555555555555556,0.34,0.5905044510385757,0.1911764705882353,0.4223602484472049,0.5793269230769234,0.3985507246376811,0.5261707988980715,0.4318181818181818,0,1,0,0
1559,2024-04-08,0.364741641337386,0.32575757575757575,0.5492063492063491,0.575829383886256,0.5555555555555556,0.42,0.5964391691394659,0.08823529411764708,0.3204968944099378,0.5408653846153868,0.42028985507246375,0.5385674931129476,0.37878787878787884,0,1,0,0
1560,2024-04-09,0.34498480243161095,0.2727272727272727,0.573015873015873,0.35900473933649296,0.15555555555555556,0.24,0.483679525222552,0.4852941176470589,0.43354037267080736,0.6899038461538503,0.40217391304347827,0.5303030303030303,0.32575757575757575,0,1,0,0
